04122012_16.44.39.983+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"NaN;NaN"}
04122012_16.44.40.012+0000	{"utterance":"Hi. I am your buddy. I can help you with directions.","uttType":"setup","userType":"im"}
04122012_16.44.40.134+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.44.40.144+0000	{"utterance":"I need your orientation. Please start walking.","uttType":"setup","userType":"im"}
04122012_16.44.50.084+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.44.50.097+0000	{"utterance":"","uttType":"dm","userType":"im"}
04122012_16.45.00.082+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.45.00.098+0000	{"utterance":"","uttType":"dm","userType":"im"}
04122012_16.45.10.084+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.45.10.103+0000	{"utterance":"","uttType":"dm","userType":"im"}
04122012_16.45.20.087+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.45.20.105+0000	{"utterance":"","uttType":"dm","userType":"im"}
04122012_16.45.30.088+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.45.30.105+0000	{"utterance":"","uttType":"dm","userType":"im"}
04122012_16.45.40.088+0000	{"userDA":"{\"cf\":\"null\"}","sessionId":"Tue-04-Dec-2012-16-44-39-GMT","userUtterance":"","userEmail":"null","userType":"user","userPosition":"55.945719;-3.1870810000000347"}
04122012_16.45.40.105+0000	{"utterance":"","uttType":"dm","userType":"im"}
